,species,genotype,clone,slideID,picnum,slide,lookupID,IAS,Lthick1,Lthick2,avgLthick,Mthickad1,Mthickad2,Avg.Mthickad,Mthickab1,Mthickab2,Avg.Mthickab,Avg.cell.ad,Avg.cell.ab,Avg.dist.maj,Avg.dist.minor,Avg.area.maj,Avg.area.minor,# planes
46,YG,15,1,21,3,1,21.3,0.24524642,688.21,609.559,648.8845,274.178,248.502,261.34,255.393,250.771,253.082,1478.758,1432.8702,598.734,695.1390333400001,9119.4055,3835.18376,1
47,YG,12,1,22,1,1,22.1,0.255459009,626.626,652.069,639.3475,203.639,231.222,217.4305,217.571,186.853,202.212,858.526,979.1188,556.6945,411.7595,14447.895,3357.1325,3
48,YG,12,1,22,2,1,22.2,0.29030398,683.512,626.189,654.8505,194.718,218.44,206.579,213.187,211.749,212.468,1006.9438,1037.2792,578.07,611.9445,18177.97,4285.4085,2
49,YG,12,1,22,3,1,22.3,0.203278349,829.662,817.096,823.379,293.06,267.74,280.4,194.561,240.643,217.602,1863.5976,1788.167,545.899,823.4395,18222.439,6183.059,3
50,YG,12,2,23,1,2,23.1,0.2346426,685.574,646.697,666.1355,219.086,277.373,248.2295,225.375,205.245,215.31,1273.6266,1545.3986,501.926,749.128,13845.898,3558.145,3
51,YG,12,2,23,2,2,23.2,0.199606099,758.951,780.43,769.6905,344.633,345.89,345.2615,246.45,245.383,245.9165,1603.5882,1156.5396,546.9395,862.5195,17318.4315,5691.31,3
52,YF,22,2,24,1,2,24.1,0.355696462,535.533,570.082,552.8075,169.965,159.478,164.7215,165.8,157.968,161.884,834.3956,794.2546,307.5506667,469.0685,12044.136,1727.623,3
53,YF,22,2,24,2,2,24.2,0.346760348,660.039,723.743,691.891,196.428,239.631,218.0295,192.074,176.52,184.297,763.0208,629.0508,276.7495,449.8895,15736.159,1963.976,3
54,YF,22,2,24,3,2,24.3,0.36519942,663.128,573.506,618.317,221.453,177.042,199.2475,133.978,184.616,159.297,946.5066,666.2974,262.3866667,462.038,17495.599,3080.5785,3
55,YF,22,1,25,1,1,25.1,0.324726225,565.689,572.189,568.939,179.259,161.467,170.363,196.794,139.965,168.3795,745.4802,517.2268,397.7695,412.9363333,19917.9585,3150.861,3
56,YF,22,1,25,2,1,25.2,0.33363403,636.556,567.82,602.188,156.931,167.715,162.323,139.151,144.039,141.595,690.3292,617.2484,325.7986667,318.154,23097.964,4963.9315,3
57,YG,14,1,26,1,1,26.1,0.269019478,677.079,690.059,683.569,265.378,236.021,250.6995,136.492,169.499,152.9955,924.8454,844.1548,544.131,611.503,18252.5005,3955.3145,0
58,YG,14,1,26,2,1,26.2,0.162428354,532.716,518.595,525.6555,248.722,261.136,254.929,200.917,128.746,164.8315,734.6292,679.545,1279.434,282.018,25999.6305,5939.5505,0
59,YG,14,1,26,3,1,26.3,0.344278149,653.584,678.899,666.2415,253.758,271.693,262.7255,205.177,171.004,188.0905,1116.5334,645.6888,529.6095,506.232,16881.778,3544.6665,0
60,YA,6,2,28,1,2,28.1,0.103118285,1020.564,1022.626,1021.595,412.37,301.128,356.749,160.816,146.384,153.6,1957.585,1270.327,494.789,535.332,11193.923,4619.672,2
61,YA,6,2,28,2,2,28.2,0.179393949,1499.002,1463.643,1481.3225,477.862,522.799,500.3305,332.518,394.442,363.48,1913.9998,1809.8832,709.735,511.50023999999996,23364.0555,12495.324,2
62,YA,6,2,28,3,2,28.3,0.116785852,1760.757,1687.902,1724.3295,561.649,644.881,603.265,394.771,439.978,417.3745,1227.7708,1995.9494,705.835,824.958,19225.3929,6181.342200000001,2
63,YG,17,1,30,1,1,30.1,0.23376689,747.974,784.969,766.4715,238.893,217.965,228.429,228.593,236.49,232.5415,1746.129,1304.133,549.607,582.8315,13179.01867,5575.884,3
64,YG,17,1,30,2,1,30.2,0.23784212,1049.994,1108.901,1079.4475,240.947,296.592,268.7695,201.869,132.812,167.3405,2091.7594,1326.3046,392.3196667,425.215,16582.1685,5143.474667,3
65,YG,17,1,30,3,1,30.3,0.236756803,907.578,895.416,901.497,292.948,263.416,278.182,137.16,199.144,168.152,1388.4958,1088.0652,326.6176667,349.7286667,11339.60375,1582.32675,3
66,YA,7,2,31,1,2,31.1,0.116204215,996.23,968.998,982.614,329.706,376.182,352.944,299.194,291.716,295.455,2146.1156,1251.7724,682.8975,724.791,18154.265,5846.3135,2
67,YA,7,2,31,2,2,31.2,0.140200062,1102.021,1084.927,1093.474,280.747,285.922,283.3345,308.116,329.401,318.7585,1957.84,1936.2662,745.85,730.201,17780.0235,6100.3565,2
68,YF,9,2,32,1,2,32.1,0.27952324,506.895,449.385,478.14,180.293,183.181,181.737,235.236,209.592,222.414,834.8446,862.9404,633.492,265.219,14164.6935,1627.211,3
69,YF,9,2,32,2,2,32.2,0.234165092,573.161,518.862,546.0115,236.887,156.742,196.8145,180.069,176.755,178.412,884.92,771.677,744.5445,220.59475,17513.963,3034.148,3
70,YF,9,2,32,3,2,32.3,0.206584511,479.536,507.943,493.7395,159.176,117.822,138.499,156.285,160.141,158.213,723.3916,812.6192,639.407,219.644,17920.1315,2465.021,3
71,YF,9,1,33,1,1,33.1,0.337470629,469.137,456.339,462.738,129.227,128.094,128.6605,110.67,113.347,112.0085,531.76,692.5098,442.13,431.6346667,10410.627,1083.5098,3
