Species ,Biorep,Subtype,Ci ,A,Pairing,Pressure,Temp,Ci_p,Cm,Qobs,Plant
Aretro,1,NAD-ME,27.84712336,19.38523803,a,100.5,31.64054298,27.84712336,27.84712336,1800,8
Aretro,1,NAD-ME,39.19521282,23.28857862,a,100.5,31.6373806,39.19521282,39.19521282,1800,8
Aretro,1,NAD-ME,56.46189247,26.60690339,a,100.5,31.65304947,56.46189247,56.46189247,1800,8
Aretro,1,NAD-ME,98.23099475,30.94932396,a,100.5,31.68307686,98.23099475,98.23099475,1800,8
Aretro,1,NAD-ME,152.1720658,32.73153741,a,100.5,31.68558121,152.1720658,152.1720658,1800,8
Aretro,1,NAD-ME,164.8153429,38.1298489,a,100.5,31.68548012,164.8153429,164.8153429,1800,8
Aretro,1,NAD-ME,345.9500084,38.0158618,a,100.5,31.65369797,345.9500084,345.9500084,1800,8
Aretro,1,NAD-ME,685.6794537,41.09096553,a,100.5,31.62704086,685.6794537,685.6794537,1800,8
Aretro,1,NAD-ME,1263.435635,43.5570509,a,100.5,31.56297112,1263.435635,1263.435635,1800,8
Aretro,2,NAD-ME,4.11859246,1.086223874,a,99.6,30.54907608,4.11859246,4.11859246,1800,9
Aretro,2,NAD-ME,7.473879553,2.933113022,a,99.6,30.578022,7.473879553,7.473879553,1800,9
Aretro,2,NAD-ME,11.97493082,5.382460325,a,99.6,30.60258293,11.97493082,11.97493082,1800,9
Aretro,2,NAD-ME,16.61886609,7.714145311,a,99.6,30.60066223,16.61886609,16.61886609,1800,9
Aretro,2,NAD-ME,20.96780171,10.02548663,a,99.6,30.60125351,20.96780171,20.96780171,1800,9
Aretro,2,NAD-ME,25.12859085,12.10708646,a,99.6,30.61155128,25.12859085,25.12859085,1800,9
Aretro,2,NAD-ME,34.05094787,16.24688872,a,99.6,30.61110115,34.05094787,34.05094787,1800,9
Aretro,2,NAD-ME,42.725341,19.95175228,a,99.6,30.61322975,42.725341,42.725341,1800,9
Aretro,2,NAD-ME,51.79130029,23.06325225,a,99.6,30.6212616,51.79130029,51.79130029,1800,9
Aretro,2,NAD-ME,70.59072458,29.00931916,a,99.6,30.62124443,70.59072458,70.59072458,1800,9
Aretro,2,NAD-ME,98.04764371,35.09442041,a,99.6,30.64382172,98.04764371,98.04764371,1800,9
Aretro,2,NAD-ME,164.1405599,42.1285071,a,99.6,30.65897369,164.1405599,164.1405599,1800,9
Aretro,2,NAD-ME,247.2390662,44.85427896,a,99.6,30.67628288,247.2390662,247.2390662,1800,9
Aretro,2,NAD-ME,265.3418575,45.1367255,a,99.6,30.67583275,265.3418575,265.3418575,1800,9
Aretro,2,NAD-ME,498.8805802,47.15437903,a,99.6,30.63573074,498.8805802,498.8805802,1800,9
Aretro,2,NAD-ME,871.4069861,48.25522472,a,99.6,30.60276222,871.4069861,871.4069861,1800,9
Aretro,2,NAD-ME,1456.411668,49.27526795,a,99.6,30.56584358,1456.411668,1456.411668,1800,9
Aretro,3,NAD-ME,3.2035107,1.052623357,a,99.6,31.2193737,3.2035107,3.2035107,1800,10
Aretro,3,NAD-ME,5.729103775,2.67352967,a,99.6,31.23842239,5.729103775,5.729103775,1800,10
Aretro,3,NAD-ME,9.470713505,4.699263288,a,99.6,31.24656868,9.470713505,9.470713505,1800,10
Aretro,3,NAD-ME,12.97516951,6.688102405,a,99.6,31.27647018,12.97516951,12.97516951,1800,10
Aretro,3,NAD-ME,16.68468222,8.467548114,a,99.6,31.30959892,16.68468222,16.68468222,1800,10
Aretro,3,NAD-ME,19.64737883,10.24731274,a,99.6,31.33660698,19.64737883,19.64737883,1800,10
Aretro,3,NAD-ME,26.87462794,13.54261762,a,99.6,31.37062836,26.87462794,26.87462794,1800,10
Aretro,3,NAD-ME,33.37454359,16.47644413,a,99.6,31.43112564,33.37454359,33.37454359,1800,10
Aretro,3,NAD-ME,39.66495666,18.86484857,a,99.6,31.48326492,39.66495666,39.66495666,1800,10
Aretro,3,NAD-ME,53.07320608,23.49567261,a,99.6,31.56324387,53.07320608,53.07320608,1800,10
Aretro,3,NAD-ME,71.95194099,28.06672001,a,99.6,31.66480255,71.95194099,71.95194099,1800,10
Aretro,3,NAD-ME,115.2432469,34.63166232,a,99.6,31.75598526,115.2432469,115.2432469,1800,10
Aretro,3,NAD-ME,166.4542089,38.30904537,a,99.6,31.84161186,166.4542089,166.4542089,1800,10
Aretro,3,NAD-ME,196.5988326,42.56336336,a,99.6,31.86457253,196.5988326,196.5988326,1800,10
Aretro,3,NAD-ME,369.5349608,44.36676732,a,99.6,31.8210144,369.5349608,369.5349608,1800,10
Aretro,3,NAD-ME,734.901922,46.48300091,a,99.6,31.69496536,734.901922,734.901922,1800,10
Aretro,3,NAD-ME,1335.614847,47.82757424,a,99.6,31.56361961,1335.614847,1335.614847,1800,10
Aretro,4,NAD-ME,2.930257397,0.795719924,a,101.45,29.30642128,2.930257397,2.930257397,1800,11
Aretro,4,NAD-ME,5.770933969,2.406783334,a,101.45,29.29897881,5.770933969,5.770933969,1800,11
Aretro,4,NAD-ME,9.546197694,4.502955207,a,101.45,29.29723167,9.546197694,9.546197694,1800,11
Aretro,4,NAD-ME,13.50228937,6.411004436,a,101.45,29.293293,13.50228937,13.50228937,1800,11
Aretro,4,NAD-ME,17.16090192,8.239590147,a,101.45,29.28937912,17.16090192,17.16090192,1800,11
Aretro,4,NAD-ME,20.68691988,9.836117323,a,101.45,29.28188515,20.68691988,20.68691988,1800,11
Aretro,4,NAD-ME,28.12175486,12.94331334,a,101.45,29.27443886,28.12175486,28.12175486,1800,11
Aretro,4,NAD-ME,35.30994142,15.52985063,a,101.45,29.26859665,35.30994142,35.30994142,1800,11
Aretro,4,NAD-ME,42.0324065,17.33857526,a,101.45,29.26527405,42.0324065,42.0324065,1800,11
Aretro,4,NAD-ME,55.25817032,20.98294895,a,101.45,29.26036453,55.25817032,55.25817032,1800,11
